suite,config,payload_bytes,runs,throughput_msg_s_mean,throughput_msg_s_median,throughput_msg_s_stdev,throughput_msg_s_min,throughput_msg_s_max,throughput_mib_s_mean,p95_latency_ms_mean,p95_latency_ms_median,p95_latency_ms_min,p95_latency_ms_max,p99_latency_ms_mean,duration_s_mean,duplicates_total,ordering_violations_total,completion_ratio_min,resource_invalid_runs,kafka_cpu_peak_pct_mean,kafka_memory_peak_mib_mean,transformer_cpu_peak_pct_mean,sink_cpu_peak_pct_mean
keying,run,16384,3,2417.771556620296,2391.458245494524,868.2869625867976,1562.9403340181668,3298.9160903481975,37.777680572192125,5988.951742,5726.181515,3898.008619,8342.665092,6119.019645333333,9.074029768,0,0,1.0,0,65.63333333333333,468.3333333333333,17.133333333333336,0.4666666666666666
keying,worker,1024,3,10831.21616378322,10739.60144225351,5474.66305377721,5402.935416973216,16351.111632122931,10.57735953494455,1806.7161079999998,1500.251094,796.0341,3123.86313,1955.5873026666668,2.2623721363333336,0,0,1.0,0,60.73333333333333,398.0,17.233333333333334,0.5333333333333333
keying,worker,16384,3,2984.25278065827,3924.516519570012,2069.138632684043,611.9477442085596,4416.294078196239,46.628949697785465,12766.759791999999,4292.432537,2605.65463,31402.192209,13225.951916666667,14.102460746666665,123,0,1.0,0,55.0,531.3333333333334,19.133333333333333,0.39999999999999997
partitions,p1,1024,3,21982.658067875935,22369.791211173444,9931.158877904087,11863.593392595625,31714.589599858737,21.467439519410092,760.3391330000001,735.783527,563.957652,981.27622,795.4540843333334,1.0701724436666666,0,0,1.0,0,45.93333333333334,375.6666666666667,11.133333333333333,0.3333333333333333
partitions,p1,16384,3,2855.1495982486827,2968.786461034953,789.9208322248995,2014.5646718170385,3582.097661894056,44.611712472635666,4182.930764,3315.70253,3174.582396,6058.507366,4222.733005666666,7.415927730333333,0,0,1.0,0,42.13333333333333,497.3333333333333,11.566666666666668,0.4333333333333333
partitions,p16,1024,3,14644.833791414168,16006.79147673665,3428.6519811435687,10744.467141212031,17183.24275629383,14.301595499427899,1108.6792203333332,968.691519,920.266942,1437.0792,1246.994198,1.4249391546666665,0,0,1.0,0,63.46666666666666,411.0,18.0,0.4333333333333333
partitions,p16,16384,3,2884.269930672907,3009.2039299251815,1400.5230239853547,1425.4654494234314,4218.140412670108,45.06671766676417,6031.824744666667,4881.402737,3516.10403,9697.967467,7097.208044,8.472735606,2,0,1.0,0,66.0,453.6666666666667,15.9,0.3333333333333333
partitions,p4,1024,3,13250.716054511426,14132.244949605905,7343.262839864662,5506.4805663785955,20113.422647549774,12.940152396983814,1561.1602943333335,796.146294,555.771379,3331.56321,1659.5696619999999,2.0138827256666665,0,0,1.0,0,43.96666666666667,383.3333333333333,13.133333333333335,0.5333333333333333
partitions,p4,16384,3,3037.2327725269465,2941.1404122067815,881.9040191947169,2207.310050738976,3963.247854635082,47.45676207073354,4676.296241,4323.530268,3552.783396,6152.575059,4813.356907,6.969083957,82,0,1.0,0,53.9,461.6666666666667,12.666666666666666,0.39999999999999997
partitions,p8,1024,3,14876.329371392198,15050.195717523548,3731.2825308345386,11061.153020209893,18517.639376443156,14.527665401750193,1001.7457893333334,970.930475,700.772484,1333.534409,1132.3554103333333,1.4056891370000002,0,0,1.0,0,55.76666666666667,399.6666666666667,14.9,0.6
partitions,p8,16384,3,3090.7169679688545,2763.130282157864,1087.1046823557467,2205.076266801395,4303.944354947305,48.29245262451335,5092.110693,5346.082139,2989.288499,6940.961441,5325.068851,6.985016289333333,4,0,1.0,0,57.06666666666666,475.0,15.666666666666666,0.5
topology,transformer-r1,1024,3,28992.272631489363,17743.078388525537,27022.561105429224,9411.50265864574,59822.23684729681,28.31276624168883,1076.5217413333332,856.213368,654.769058,1718.582798,1177.182348,1.1955277076666666,0,0,1.0,0,64.5,396.0,17.3,0.7000000000000001
topology,transformer-r1,16384,3,3092.765489892699,2100.693145949847,1932.0451097725236,1858.2980777927933,5319.305245935457,48.32446077957342,5997.031588333334,6287.920942,3128.347668,8574.826155,6779.939905333334,8.014364191333334,0,0,1.0,0,70.5,504.0,18.400000000000002,2.0
topology,transformer-r2,1024,3,9936.350441150706,10542.299118979587,7993.211082471629,1657.4095113568033,17609.342693115726,9.703467227686236,4679.161293333334,1597.457357,781.678503,11658.34802,4855.386138,5.033301302,0,0,1.0,0,65.8,453.0,13.1,0.39999999999999997
topology,transformer-r2,16384,3,3009.8975683565363,3534.6134090846044,1531.9720765800873,1284.514218176642,4210.565077808363,47.02964950557088,7029.834202000001,4097.243581,3263.247036,13729.011989,7688.188719999999,8.659457385333333,145,0,1.0,0,64.16666666666667,464.3333333333333,14.466666666666667,2.8000000000000003
