scenario,transport,payload_bytes,concurrency,repetitions,source_files,throughput_messages_per_second,throughput_megabytes_per_second,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_inter_arrival_ms,inter_arrival_jitter_ms,duplicates,ordering_violations,pre_failure_throughput_msg_s,recovery_window_throughput_msg_s,post_recovery_throughput_msg_s,time_to_first_post_failure_message_ms,time_to_sustained_target_ms,throughput_debt_recovery_window_msg,recovery_window_p95_latency_ms,post_failure_duplicates,post_failure_ordering_violations,backlog_drain_ms
clean,kafka,1024,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,11837.31475627631,11.55987769167608,549.3712651,1364.3112434999998,1496.4647987,0.0057672,4.678215150130723,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,9759.794207169416,38.124196121755524,84.0092981,140.18925240000002,181.2818334,0.0162438,1.7411253728720897,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10416.20708995165,40.68830894512372,375.6295427,867.8504401,922.1282828,0.014524800000000001,1.8719470588170772,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10031.468050479423,39.185422072185155,629.0885492,1099.4034333,1223.71756,0.0185132,1.7470335961741335,0.5,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,8558.325843724127,33.43096032704738,725.26171,1681.5456395999997,1939.0273682,0.0128461,5.129906483553836,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3331.0240291881664,52.0472504560651,31.626493699999997,95.4686725,114.86286079999999,0.18387550000000003,2.3858724421552666,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3527.0502802688725,55.11016062920116,408.7004869,1983.9708372,2172.2559166,0.20157319999999998,3.293479284121447,4.6,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3745.9893798871444,58.531084060736625,712.0760326,2015.1503842999998,2301.4734697,0.1681849,3.668352308494259,1.5,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3449.5205211114917,53.89875814236702,4456.078253199999,5977.733626200001,6629.022731300001,0.1010747,7.246677026376057,3.9,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,1,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,16616.75389143555,4.05682468052626,422.361089,648.1755159999999,660.001655,0.0076834999999999985,0.6387652991405005,0.0,0.0,,,,,,,,0.0,0.0,
